County,Percent_Households_Below_Poverty_Level,Median_Age,Homeowner_Vacancy_Rate,Percent_Pop_25_And_Over_With_College_Or_Higher_Educ
"Twiggs, Georgia",23.3,45.7,0.1,11.8
"Union, Georgia",15.5,54.3,2.5,22.5
"Upson, Georgia",21,42.1,3.2,13.4
"Walker, Georgia",15.1,41.4,2.7,16.6
"Walton, Georgia",11.7,38.7,0.4,21.7
"Ware, Georgia",21.7,39.5,1.4,15.2
"Warren, Georgia",27.1,45.1,0,12.3
"Washington, Georgia",22.5,41.5,3,12.3
"Wayne, Georgia",15.6,38.9,2.8,13
"Webster, Georgia",21.7,45.1,0,14.7
"Wheeler, Georgia",28.1,38.8,0,13.6
"White, Georgia",11.1,46.1,1.7,22.7
"Whitfield, Georgia",14.4,36,1.8,15.7
"Wilcox, Georgia",21.5,39.8,0,12.2
"Wilkes, Georgia",20.2,45.1,2.5,13.8
"Wilkinson, Georgia",22.4,42.6,2.3,10.9
"Worth, Georgia",17.7,41.6,2.2,11
"Hawaii, Hawaii",16,42.7,2.6,29.4
"Honolulu, Hawaii",8.6,37.9,1,35
"Kalawao, Hawaii",5.1,57.4,,24.2
"Kauai, Hawaii",9.3,42.6,1.5,29.2
"Maui, Hawaii",9.2,41.2,1.6,27.2
"Ada, Idaho",11.1,37,1.1,38.5
"Adams, Idaho",12.5,55.2,2.2,21.2
"Bannock, Idaho",16.3,33.8,1.5,27.8
"Bear Lake, Idaho",16.7,39.6,2.9,18.9
"Benewah, Idaho",15.3,46.2,6.8,15.2
"Bingham, Idaho",11.7,33.6,2.6,21.2
"Blaine, Idaho",9.6,43.2,5.7,35.4
"Boise, Idaho",10.3,54,4.6,27.1
"Bonner, Idaho",14.2,47.9,2.9,23.8
"Bonneville, Idaho",10.8,32.9,1.8,31.3
"Boundary, Idaho",16.4,43.5,2,19.8
"Butte, Idaho",15.2,45.2,4.4,16.2
"Camas, Idaho",15,44.5,0,16.3
"Canyon, Idaho",13.4,33.6,1,18.7
"Caribou, Idaho",7.8,36.9,1.6,19
"Cassia, Idaho",14.1,32.9,1.5,18.6
"Clark, Idaho",9.3,33.2,7.7,12.2
"Clearwater, Idaho",13.8,50.4,1.9,17.9
"Custer, Idaho",15.9,53,4.1,24.4
"Elmore, Idaho",13.6,32.3,1.1,18.7
"Franklin, Idaho",11.6,32.8,1.9,17.7
"Fremont, Idaho",13.5,37.6,1.6,21.7
"Gem, Idaho",16.7,44.6,0,17.5
"Gooding, Idaho",15.7,38.7,0.8,17.2
"Idaho, Idaho",16.5,50.2,4.1,19.8
"Jefferson, Idaho",7.7,31.5,0.3,24.7
"Jerome, Idaho",14.9,32.7,2,16.1
"Kootenai, Idaho",11.2,40.2,1.3,25.2
"Latah, Idaho",18.2,28.7,1.8,45.4
"Lemhi, Idaho",13,52.1,5.3,22.9
"Lewis, Idaho",17.7,48.6,1.2,17.9
"Lincoln, Idaho",12.8,35.1,1.6,10.3
"Madison, Idaho",29.6,23.5,1.6,36.4
"Minidoka, Idaho",16.6,35.2,1,14.1
"Nez Perce, Idaho",12.8,40.8,2.1,22.9
"Oneida, Idaho",12.4,38.6,0.6,17.1
"Owyhee, Idaho",13.7,38.9,0.8,12
"Payette, Idaho",13.8,40.4,0.5,15.7
"Power, Idaho",8.8,38.3,3.4,15.1
"Shoshone, Idaho",18.2,47.3,3,11.5
"Teton, Idaho",3.9,37.2,3.3,41
"Twin Falls, Idaho",13.9,34.7,1.1,20.6
"Valley, Idaho",10.1,50.6,2.9,30.4
"Washington, Idaho",14.1,45.4,1.6,16.3
"Adams, Illinois",11.7,41.5,2.1,25
"Alexander, Illinois",21.2,45.3,1.2,12.9
"Bond, Illinois",15.2,41.6,3.6,22.9
"Boone, Illinois",9.5,38.5,2,23.5
"Brown, Illinois",12.4,38.9,1.6,14.1
"Bureau, Illinois",11.6,44.4,3.4,20.6
"Calhoun, Illinois",11.1,46.8,3.3,14.2
"Carroll, Illinois",12.3,48.3,2.5,19.5
"Cass, Illinois",13.5,40,2.2,15.1
"Champaign, Illinois",19.6,30.1,2.8,45
"Christian, Illinois",12.4,43.4,2.2,17.1
"Clark, Illinois",10.6,42.3,0.9,19.9
"Clay, Illinois",15.9,42.6,3.2,15
"Clinton, Illinois",8.4,40.6,1.8,22.3
"Coles, Illinois",21.6,35.7,2.1,26
"Cook, Illinois",13.9,36.8,2,38.8
"Crawford, Illinois",13.1,41.8,2.4,17.1
"Cumberland, Illinois",12.7,42.5,1.5,15.4
"DeKalb, Illinois",16.9,31.1,1.5,32.3
"De Witt, Illinois",10.5,43.6,1,21.3
"Douglas, Illinois",11.6,37.8,1.5,18.9
"DuPage, Illinois",6.7,39.3,1.1,49.4
"Edgar, Illinois",14,45.2,3.3,17.2
"Edwards, Illinois",12,43.5,1.6,13.9
"Effingham, Illinois",11.3,39.4,0.8,22.7
"Fayette, Illinois",14.9,41.9,4.5,11.3
"Ford, Illinois",12.1,43.4,1.6,21.4
"Franklin, Illinois",19.4,42.8,2,16.7
"Fulton, Illinois",14.1,43.2,1.6,17.6
"Gallatin, Illinois",22.6,45.6,1.9,10.9
"Greene, Illinois",12.3,42.5,3.1,12.8
"Grundy, Illinois",7.3,37.9,0.4,22.9
"Hamilton, Illinois",9.3,43.6,1.2,17
"Hancock, Illinois",11.5,46,3.5,21
"Hardin, Illinois",14.3,46.8,2.6,10.8
"Henderson, Illinois",7.7,50,3.4,18.3
"Henry, Illinois",10.6,43.1,1.7,23.3
"Iroquois, Illinois",12.9,44.4,2.6,15.9
"Jackson, Illinois",26.2,31.9,2.8,34.1
"Jasper, Illinois",15.8,43.1,0.2,16.6
"Jefferson, Illinois",15.1,40.9,2.1,17.9
"Jersey, Illinois",10,42.9,4.1,20.3
"Jo Daviess, Illinois",8.7,49.9,2.5,25
"Johnson, Illinois",10.5,43.7,1.6,16
"Kane, Illinois",9.1,37.3,1.1,33.1
"Kankakee, Illinois",13.9,37.7,2.1,20.8
"Kendall, Illinois",4.4,35.2,0.4,36.2
"Knox, Illinois",16.9,42.1,2.2,18.9
"Lake, Illinois",7.9,38.4,1.5,45.3
"LaSalle, Illinois",12.1,41.9,1.4,17.8
"Lawrence, Illinois",13.8,42.4,1.5,14.9
"Lee, Illinois",13,43.2,2.1,18.2
"Livingston, Illinois",13.9,42,1.8,14.8
"Logan, Illinois",9.3,40.1,2,19.9
"McDonough, Illinois",21.3,33,4.3,32.2
"McHenry, Illinois",6.7,40.2,1.5,34.4
"McLean, Illinois",15.4,33.1,1.4,44.8
"Macon, Illinois",16.4,41.1,2,22.1
"Macoupin, Illinois",13.1,43.7,1,18.4
"Madison, Illinois",12.9,40.2,2.3,26.8
"Marion, Illinois",15.8,42.2,1.5,15.2
"Marshall, Illinois",12,46,2.1,18.9
"Mason, Illinois",12.8,45.2,1.3,16
"Massac, Illinois",17.3,43.5,3,13.9
"Menard, Illinois",7.7,43.2,1.1,24
"Mercer, Illinois",9.5,44.9,1.2,17.4
"Monroe, Illinois",5.2,42,1.2,35
"Montgomery, Illinois",15.1,43.3,1.9,16.7
"Morgan, Illinois",13.2,40.8,2,19.3
"Moultrie, Illinois",7.3,40.7,1.5,18.6
"Ogle, Illinois",8.9,42.4,1.8,21.4
"Peoria, Illinois",15.3,37.5,2.8,30.6
"Perry, Illinois",15.9,42.2,0.7,12.5
"Piatt, Illinois",5.5,42.9,1,28.6
"Pike, Illinois",14.1,42,1.6,17.8
"Pope, Illinois",20.3,52.5,0.8,13.1
"Pulaski, Illinois",21.1,44,2.3,12.5
"Putnam, Illinois",8.2,48.1,2.1,16.6
"Randolph, Illinois",11,41.6,3.5,13.3
"Richland, Illinois",14.7,42,2.6,21
"Rock Island, Illinois",13.2,40.1,1.6,23.5
"St. Clair, Illinois",14.7,38.6,2.4,28
"Saline, Illinois",21.4,42.2,2.1,19.2
"Sangamon, Illinois",13.3,40.3,1.4,34.5
"Schuyler, Illinois",7.5,46.3,3.7,20.4
"Scott, Illinois",10.9,44.6,0.7,15.8
"Shelby, Illinois",11.7,45.1,0.9,16.8
"Stark, Illinois",14.4,45.1,3.1,17
"Stephenson, Illinois",13.4,45.3,1.4,19.6
"Tazewell, Illinois",8.3,41,1.9,26.3
"Union, Illinois",15.4,43.7,1.9,21.7
"Vermilion, Illinois",16.4,40.4,2,14.7
"Wabash, Illinois",14.1,43.8,3.6,18.2
"Warren, Illinois",13.2,39.8,0.2,22.8
"Washington, Illinois",6.8,43.9,2.3,20.9
"Wayne, Illinois",13.7,43.4,1.8,15.4
"White, Illinois",14.5,44.3,2.6,15.5
"Whiteside, Illinois",9.6,43.4,3,18.2
"Will, Illinois",6.8,37.9,1.4,34.3
"Williamson, Illinois",13.7,41.2,2,24.3
"Winnebago, Illinois",14.4,39.7,1.5,22.9
"Woodford, Illinois",8.1,40.5,1.7,33.2
"Adams, Indiana",14.5,33.5,0.2,15.5
"Allen, Indiana",12.3,35.9,1.3,28.5
"Bartholomew, Indiana",11.4,37.8,1.5,33.5
"Benton, Indiana",12.3,40.5,3.1,16.1
"Blackford, Indiana",12.8,44,3.5,13.5
"Boone, Indiana",6.7,38.1,1.1,49.3
"Brown, Indiana",9.9,50,2.4,28.9
"Carroll, Indiana",8.9,42.9,1.3,16.7
"Cass, Indiana",13.2,40.8,1.2,13.3
"Clark, Indiana",9.6,39.1,2,21.2
"Clay, Indiana",11.4,41.5,1.7,17
"Clinton, Indiana",10.7,37.8,2.5,16.3
"Crawford, Indiana",16.9,43,0.2,10.3
"Daviess, Indiana",12.8,34.4,1.4,13.2
"Dearborn, Indiana",10.4,42.5,2.4,22.9
"Decatur, Indiana",11.2,39.2,0.4,20.6
"DeKalb, Indiana",9.9,39.1,1.4,18
"Delaware, Indiana",20.9,35.6,1.8,23.7
"Dubois, Indiana",10.1,40.3,0.7,23.7
"Elkhart, Indiana",11.8,35.6,1.4,19.8
"Fayette, Indiana",18.2,42.8,2.5,13.3
"Floyd, Indiana",9.4,39.8,1.7,29.6
"Fountain, Indiana",12.1,43.4,1.1,14.9
"Franklin, Indiana",9.2,42.2,3,21.1
"Fulton, Indiana",13,41.3,3.1,15.8
"Gibson, Indiana",9.8,40.3,1.1,18
"Grant, Indiana",16.6,40.3,2.6,17.9
"Greene, Indiana",13.7,43.1,2,14.9
"Hamilton, Indiana",4.7,37.1,1.4,59.3
"Hancock, Indiana",6.8,39.8,0.9,30.8
"Harrison, Indiana",10.8,42.3,0.7,18.7
"Hendricks, Indiana",5.3,37.7,0.8,37
"Henry, Indiana",14.2,42.1,2.5,16.4
"Howard, Indiana",14.3,41.7,2.5,21.6
"Huntington, Indiana",10.9,40.7,1.2,20.1
"Jackson, Indiana",14.1,38.5,1.8,16.7
"Jasper, Indiana",8.9,40.3,1,14.3
"Jay, Indiana",13.2,39.7,1.6,11.4
"Jefferson, Indiana",14.1,40.8,3.3,17.9
"Jennings, Indiana",10.5,39.8,0.1,12
"Johnson, Indiana",6.9,37.5,1.1,32.7
"Knox, Indiana",14.9,37.9,0.8,16.9
"Kosciusko, Indiana",9.7,38.5,1.3,23.3
"LaGrange, Indiana",7.3,31.1,1.8,10.5
"Lake, Indiana",14.4,39.1,1.4,22.6
"LaPorte, Indiana",12.8,40.3,1.3,18
"Lawrence, Indiana",13.9,43.1,2.1,15.8
"Madison, Indiana",16,40.4,2,18.4
"Marion, Indiana",16.2,34.3,1.6,30.9
"Marshall, Indiana",13.3,40,1.2,19.7
"Martin, Indiana",12.7,42.7,2.8,13.7
"Miami, Indiana",13.4,40.1,1.4,13
"Monroe, Indiana",21.3,29.6,1.2,45.7
"Montgomery, Indiana",10.6,40.2,1,18.2
"Morgan, Indiana",9.7,41.5,1,17.3
"Newton, Indiana",10.9,43.1,0.6,11.9
"Noble, Indiana",7.6,38.7,1.2,13.7
"Ohio, Indiana",8.8,47.4,0.7,14.7
"Orange, Indiana",15.7,42.4,2.4,10.9
"Owen, Indiana",11.9,45.2,1.7,13.1
"Parke, Indiana",13.3,43.2,5,12
"Perry, Indiana",12.5,42,0.4,16.1
"Pike, Indiana",11.2,43.7,0.8,14.1
"Porter, Indiana",10,39.5,1.1,28.4
"Posey, Indiana",11,42.6,1.5,21.9
"Pulaski, Indiana",13.1,41.6,0.9,12.8
"Putnam, Indiana",9.4,37.9,1.2,16.8
"Randolph, Indiana",15.1,42.6,2.9,14.3
"Ripley, Indiana",12,40.7,2,18
"Rush, Indiana",13.9,41.7,2,13.9
"St. Joseph, Indiana",14.7,36.6,1.6,29.6
"Scott, Indiana",14.1,41.5,3,12
"Shelby, Indiana",10.2,40.8,0.3,18.7
"Spencer, Indiana",9.8,44,1.3,15.2
"Starke, Indiana",14.2,41.5,3.7,11.9
"Steuben, Indiana",7.3,43.7,1.2,21.8
"Sullivan, Indiana",12.4,41,0.8,12.1
"Switzerland, Indiana",18.9,40.5,4.9,10.9
"Tippecanoe, Indiana",17.8,28.2,1.4,38.7
"Tipton, Indiana",6.8,45.1,0.1,24.7
"Union, Indiana",7.3,43.5,1.6,18.5
"Vanderburgh, Indiana",15.6,38.3,1.6,27
"Vermillion, Indiana",14.3,42.9,1.8,14.2
"Vigo, Indiana",19.2,36.2,2.2,25.1
"Wabash, Indiana",11.3,42.3,1.4,18.1
"Warren, Indiana",10.1,44.4,0.7,19.4
"Warrick, Indiana",7.4,41.2,0.3,30.3
"Washington, Indiana",13.2,41.6,2.1,13.4
"Wayne, Indiana",14.8,40.6,1.7,18.2
"Wells, Indiana",9.3,40.3,1.5,18.2
"White, Indiana",8.6,42,3.1,16.4
"Whitley, Indiana",8.1,41.8,1.5,20.7
"Adair, Iowa",11.4,45.4,1.9,18.5
"Adams, Iowa",13.2,47.3,7.6,15.6
"Allamakee, Iowa",10.2,44.4,2.3,17.8
"Appanoose, Iowa",16.7,45.7,0.5,16.3
"Audubon, Iowa",10.3,48.1,1.2,17.1
"Benton, Iowa",9.4,42.6,1.8,22.1
"Black Hawk, Iowa",14.9,35.2,1.4,29.1
"Boone, Iowa",7.2,41.8,1.6,25.3
"Bremer, Iowa",7.4,39.8,1.3,30.7
"Buchanan, Iowa",9.3,39.1,1.2,21.5
"Buena Vista, Iowa",11.4,35,2.6,19.7
"Butler, Iowa",10.9,43.9,0.5,17.3
"Calhoun, Iowa",12.9,44.6,1.5,18.7
"Carroll, Iowa",10.3,42,1.4,22.4
"Cass, Iowa",14.4,44.9,2.8,20.1
"Cedar, Iowa",7.2,42.7,1.1,22.2
"Cerro Gordo, Iowa",11.4,44.3,1.4,23.6
"Cherokee, Iowa",10.5,46.3,1.4,22.2
"Chickasaw, Iowa",7.8,44.5,1.2,17.2
"Clarke, Iowa",13.1,40.5,0.7,16
"Clay, Iowa",12.2,42.9,2.9,22.7
"Clayton, Iowa",9.5,47.3,2,17.7
"Clinton, Iowa",12.1,42.2,1.6,17.9
"Crawford, Iowa",15.1,38.7,2.7,14.3
"Dallas, Iowa",5.6,35.4,0.7,50.4
"Davis, Iowa",11.3,36.8,0.2,19.5
"Decatur, Iowa",20.3,36.4,3.3,25
"Delaware, Iowa",9.4,43.8,1.4,16.6
"Des Moines, Iowa",15.1,42.9,2.1,20.1
"Dickinson, Iowa",6.9,48.4,2.1,33.6
"Dubuque, Iowa",11.2,38.6,0.5,30.8
"Emmet, Iowa",11.6,42.9,5,18.8
"Fayette, Iowa",12.1,43.8,2.4,18.3
"Floyd, Iowa",12.7,44.1,1,19.8
"Franklin, Iowa",11.9,42.7,2.6,18
"Fremont, Iowa",10.8,46.2,2.9,18.9
"Greene, Iowa",9.9,44.5,0.9,18.7
"Grundy, Iowa",6.4,42.6,1.3,27.9
"Guthrie, Iowa",10.7,45.5,2.8,19.8
"Hamilton, Iowa",11.4,42.6,0.1,24.3
"Hancock, Iowa",11,44.2,1,23.8
"Hardin, Iowa",9.8,44.7,2.8,20.8
"Harrison, Iowa",11.2,44,2.2,19.5
"Henry, Iowa",10,39.7,0.6,19.6
"Howard, Iowa",10.2,41.5,1,15.8
"Humboldt, Iowa",12.6,42.9,0.8,21.2
"Ida, Iowa",11.4,43.7,3.6,18.6
"Iowa, Iowa",9.4,41.7,1.4,18.8
"Jackson, Iowa",13.3,44.3,2.1,19.2
"Jasper, Iowa",10.1,42.1,2.9,18.8
"Jefferson, Iowa",15.7,42.9,1,31.5
"Johnson, Iowa",18,30.3,1.1,52.8
"Jones, Iowa",8.1,43.1,1.5,19.5
"Keokuk, Iowa",9.8,43.7,2.1,18.3
"Kossuth, Iowa",10.8,45.5,1.5,17.5
"Lee, Iowa",13.2,43.1,0.8,16.4
"Linn, Iowa",9.7,37.7,1.5,33.1
"Louisa, Iowa",10.8,41.9,0.3,14.9
"Lucas, Iowa",11.9,44.2,1.3,17
"Lyon, Iowa",6.2,38,1.7,20.7
"Madison, Iowa",5.5,40.7,1.4,24.5
"Mahaska, Iowa",13.6,39.3,1.4,22
"Marion, Iowa",8.9,39.4,0.2,28.8
"Marshall, Iowa",11.9,38.7,1.5,18.8
"Mills, Iowa",8.1,42.5,2.6,24.1
"Mitchell, Iowa",6.8,43.6,1.3,19
"Monona, Iowa",15.7,46,1.8,15.3
"Monroe, Iowa",12.3,43,0.2,17.4
"Montgomery, Iowa",11.4,44.2,1.3,18.5
"Muscatine, Iowa",9.6,38.1,0.4,21.5
"O'Brien, Iowa",10.7,41.9,3.2,18.8
"Osceola, Iowa",9.9,44,1.2,17.9
"Page, Iowa",11.3,44.1,2.1,20.2
"Palo Alto, Iowa",7,41.4,5,25.5
"Plymouth, Iowa",8.3,40,0.9,23.2
"Pocahontas, Iowa",12,47.6,0.9,15
"Polk, Iowa",9.8,35.5,1.3,36.7
"Pottawattamie, Iowa",11.1,39.7,0.9,21.5
"Poweshiek, Iowa",12.4,40.5,3.3,26.1
"Ringgold, Iowa",8.2,44,0.8,21.4
"Sac, Iowa",11.1,46.1,3,20
"Scott, Iowa",11.6,38.3,1.6,31.8
"Shelby, Iowa",9.8,46.4,0.3,22.2
"Sioux, Iowa",6.6,33.4,1.1,29.1
"Story, Iowa",20.9,26.6,0.5,51.6
"Tama, Iowa",11,42.6,2.4,15.8
"Taylor, Iowa",10.4,42.3,3.9,14.5
"Union, Iowa",13.4,40.3,2.8,18
"Van Buren, Iowa",11.9,45.4,2.1,14.4
"Wapello, Iowa",14.7,39.6,1.5,18.8
"Warren, Iowa",9.5,38.3,0.5,31.9
"Washington, Iowa",10.2,40.3,2.4,21.8
"Wayne, Iowa",13.5,43.2,1,12.7
"Webster, Iowa",13.3,39,1.7,19.9
"Winnebago, Iowa",9.5,41.8,1.3,21.8
"Winneshiek, Iowa",9.4,41.5,1.2,30.6
"Woodbury, Iowa",12.7,35.8,1.5,23.1
"Worth, Iowa",8.9,43.9,1.3,17.5
"Wright, Iowa",11,43.5,0.3,17.2
"Allen, Kansas",18.3,41.9,2.6,20.3
"Anderson, Kansas",13.4,40.8,4.6,18.1
"Atchison, Kansas",12.5,36.6,1.4,22
"Barber, Kansas",16.4,43.6,4.5,20.7
"Barton, Kansas",13.3,39.9,2.2,20.9
"Bourbon, Kansas",16,39.1,2.1,21.7
"Brown, Kansas",11.4,42.1,0.7,21.2
"Butler, Kansas",9.6,38.6,1,29.8
"Chase, Kansas",12.4,44.8,2.2,25.5
"Chautauqua, Kansas",19.8,47.9,4.3,15.9
"Cherokee, Kansas",14,41.3,1.4,19.6
"Cheyenne, Kansas",12.1,45.6,1.4,28.9
"Clark, Kansas",11.8,45.3,7.3,26.1
"Clay, Kansas",10,42.5,6.8,26.7
"Cloud, Kansas",12.1,40.8,4.3,24
"Coffey, Kansas",13.1,43.8,2.2,24.5
"Comanche, Kansas",11.7,48.1,3.5,16
"Cowley, Kansas",13.8,38.8,1.4,21.8
"Crawford, Kansas",21.7,32.5,2.6,29.9
"Decatur, Kansas",14.4,50.6,5.6,22.5
"Dickinson, Kansas",13.3,41.3,5.5,22.9
"Doniphan, Kansas",12.6,41,2,21.1
"Douglas, Kansas",17.2,29.8,1.7,49.6
"Edwards, Kansas",11,45.7,2.6,18.1
"Elk, Kansas",18.4,52.3,4,15.6
"Ellis, Kansas",16.8,32.5,2.4,36.3
"Ellsworth, Kansas",10.4,42.1,3.1,19.5
"Finney, Kansas",12.4,30.8,1.4,17.1
"Ford, Kansas",11.6,32.2,0.3,17.7
"Franklin, Kansas",10.2,40,2.5,20.4
"Geary, Kansas",11.7,26.4,6.7,23.2
"Gove, Kansas",10.5,48.2,1.3,19.7
"Graham, Kansas",9.4,50.4,4.3,24.7
"Grant, Kansas",11.3,32.6,0,14.9
"Gray, Kansas",4.9,36,4.5,20.2
"Greeley, Kansas",5.8,42.2,4.9,27.2
"Greenwood, Kansas",14.2,48.6,5.1,19.9
"Hamilton, Kansas",9.3,35.8,5.3,18.7
"Harper, Kansas",15,42.4,1.1,16.2
"Harvey, Kansas",11.1,39.2,3.7,33.2
"Haskell, Kansas",11.1,36.9,5,17.1
"Hodgeman, Kansas",7.7,47.6,2.2,30.8
"Jackson, Kansas",11.5,41.2,0.4,20.2
"Jefferson, Kansas",7.2,43.3,0.9,23.2
"Jewell, Kansas",16,52.8,0.7,19.3
"Johnson, Kansas",5.6,37.6,1,56
"Kearny, Kansas",12.2,34.7,5,14.7
"Kingman, Kansas",7.7,45.4,2.3,24.4
"Kiowa, Kansas",7,41.6,3.6,28.1
"Labette, Kansas",16.7,41,5.7,18.7
"Lane, Kansas",16,40.7,0,23.1
"Leavenworth, Kansas",8.7,37.8,1.3,31.5
"Lincoln, Kansas",11.5,46.5,2,22.8
"Linn, Kansas",18.4,44.4,1.3,16.2
"Logan, Kansas",9.5,39.7,0,16.6
"Lyon, Kansas",18.2,33.4,1,27.5
"McPherson, Kansas",10.1,40.8,1.9,28
"Marion, Kansas",9.2,44.5,3.5,25
"Marshall, Kansas",9,42.8,0.9,18.9
"Meade, Kansas",7.3,37.9,1.3,20.3
"Miami, Kansas",7.9,42.1,2,29.8
"Mitchell, Kansas",14,43.1,4,26.1
"Montgomery, Kansas",17.5,40.3,3.3,19.5
"Morris, Kansas",10.1,46.6,3,21.4
"Morton, Kansas",14.8,40.5,7.4,17.3
"Nemaha, Kansas",7.8,39.9,1.4,25.4
"Neosho, Kansas",18.1,40.2,2.3,18.1
"Ness, Kansas",10.4,50,1.8,19.4
"Norton, Kansas",12.6,42.7,4.7,18.8
"Osage, Kansas",14.9,43.8,1.6,19.2
"Osborne, Kansas",16.3,46.7,1,23.6
"Ottawa, Kansas",8.4,43,2,24.5
"Pawnee, Kansas",8.2,43,8,19.6
"Phillips, Kansas",8.8,44.3,1.3,21.8
"Pottawatomie, Kansas",9.4,35.4,2.5,33.8
"Pratt, Kansas",10.8,38.5,0.7,30.3
"Rawlins, Kansas",13,48.8,2.3,24.1
"Reno, Kansas",13.5,40.3,2,20.9
"Republic, Kansas",12.6,50.7,2,25.5
"Rice, Kansas",12.3,38.9,2.9,22.8
"Riley, Kansas",19.6,25.1,2.4,45.6
"Rooks, Kansas",9.8,44.7,4.3,23.1
"Rush, Kansas",11,46.6,2.2,23.7
"Russell, Kansas",11.9,49.1,1.1,23.1
"Saline, Kansas",12.6,38.6,3.3,27.3
"Scott, Kansas",8.3,39.7,0,25.1
"Sedgwick, Kansas",13.5,35.4,1.5,30.9
"Seward, Kansas",16.2,29.4,1.3,11
"Shawnee, Kansas",11.4,39.1,1.3,30.9
"Sheridan, Kansas",8,44.9,0.2,22
"Sherman, Kansas",9.9,39.3,0,21.8
"Smith, Kansas",10.6,51.4,2.1,22.3
"Stafford, Kansas",12,44.1,1.8,25.2
"Stanton, Kansas",13.8,35.3,0,19
"Stevens, Kansas",21.2,35.1,0.2,13.7
"Sumner, Kansas",13.3,41.2,1.2,23.3
"Thomas, Kansas",17.3,36,3,22.6
"Trego, Kansas",6.9,49.4,3.4,24.8
"Wabaunsee, Kansas",5.2,43.8,2.8,24.2
"Wallace, Kansas",9.1,41.8,3.6,32.4
"Washington, Kansas",11.5,45.4,1.6,20.3
"Wichita, Kansas",4.7,42.3,3.8,20.6
"Wilson, Kansas",16.4,43.7,2.7,16.5
"Woodson, Kansas",18.7,47.4,1.2,17.2
"Wyandotte, Kansas",18.4,33.7,1.4,18.1
"Adair, Kentucky",21.4,41.8,1.7,15.7
"Allen, Kentucky",19.9,40.7,4,16.1
"Anderson, Kentucky",13.9,41.4,0.3,20.2
"Ballard, Kentucky",15,43.6,2.1,15.9
"Barren, Kentucky",20,40.5,1.1,16.3
"Bath, Kentucky",20.5,40.6,0.8,14.5
"Bell, Kentucky",34,41.7,3.3,9.2
"Boone, Kentucky",7.1,37.5,0.8,32.1
"Bourbon, Kentucky",14.2,41.8,1.1,19.4
"Boyd, Kentucky",19,42.3,3.7,19.4
"Boyle, Kentucky",16.1,40.3,1.5,25.2
"Bracken, Kentucky",18.9,41.4,1.7,13.2
"Breathitt, Kentucky",35,42.2,1.4,15.2
"Breckinridge, Kentucky",18.3,43.1,2,11.9
"Bullitt, Kentucky",9.3,40.4,1.3,14.7
"Butler, Kentucky",18.5,41.3,0.2,13.9
"Caldwell, Kentucky",16.8,44,1.7,15.3
"Calloway, Kentucky",22.5,35.6,1.7,28.5
"Campbell, Kentucky",13.3,38.2,1.6,36.3
"Carlisle, Kentucky",15.9,42.8,0.3,14.9
"Carroll, Kentucky",19.2,38.5,2,8.2
"Carter, Kentucky",27.2,41.6,1.3,12.6
"Casey, Kentucky",24.7,42.6,0.2,12.8
"Christian, Kentucky",19.2,28.3,1.2,18.1
"Clark, Kentucky",14.4,42.3,2.8,20.1
"Clay, Kentucky",38.4,39.6,1.5,9.8
"Clinton, Kentucky",24.9,41.9,1.8,10.3
"Crittenden, Kentucky",15.3,43.6,0.8,13.1
"Cumberland, Kentucky",25.8,46,2,13.3
"Daviess, Kentucky",16,38.9,0.7,22.9
"Edmonson, Kentucky",17.6,44.3,2.3,10.3
"Elliott, Kentucky",31.7,41.4,2.8,9.7
"Estill, Kentucky",29.7,43.5,0.8,9.9
"Fayette, Kentucky",15.5,34.6,1.3,43.6
"Fleming, Kentucky",18.2,41.4,1.3,12.9
"Floyd, Kentucky",29.5,42.2,1.5,11.3
"Franklin, Kentucky",10.2,40.9,2.5,29.9
"Fulton, Kentucky",26.9,43.5,7,13.4
"Gallatin, Kentucky",14.4,38.8,5,11.6
"Garrard, Kentucky",14.7,43,0.9,17.6
"Grant, Kentucky",15.7,36.3,1.6,12.9
"Graves, Kentucky",19.6,39.7,1.9,17.4
"Grayson, Kentucky",22.5,40.3,1.2,10.5
"Green, Kentucky",19,44.6,1.3,13.2
"Greenup, Kentucky",16.2,43.4,3,17.1
"Hancock, Kentucky",11.4,39.9,0,11.4
"Hardin, Kentucky",13.1,37,1.2,22
"Harlan, Kentucky",35.1,41.3,2,10.8
"Harrison, Kentucky",18.6,42.2,2.2,14.6
"Hart, Kentucky",24.2,40.5,0.1,11.4
"Henderson, Kentucky",17.1,41.2,1.5,18.2
"Henry, Kentucky",15.9,41.4,1.8,13.1
"Hickman, Kentucky",16.8,48,0.8,15.8
"Hopkins, Kentucky",18.6,41.8,3.5,16.5
"Jackson, Kentucky",31.5,42.2,1,13.8
"Jefferson, Kentucky",13.4,38.3,1.5,33.4
"Jessamine, Kentucky",15.4,37.8,0.6,29.5
"Johnson, Kentucky",24.2,41.8,3.2,16.3
"Kenton, Kentucky",10.7,37.1,1.5,31.7
"Knott, Kentucky",31,43.2,1,14.9
"Knox, Kentucky",34.2,40,2.3,14.2
"Larue, Kentucky",12.7,40.9,2.6,12.4
"Laurel, Kentucky",23.1,40,0.8,14.4
"Lawrence, Kentucky",26.4,41.2,1.5,9.8
"Lee, Kentucky",37.2,43.6,0.5,8.3
"Leslie, Kentucky",35.5,42.3,1.4,8.7
"Letcher, Kentucky",32,42.4,1.6,12.1
